act,hl,nodes,early_stopping,max_epochs,bs,dropout,accuracy,accuracyTest
relu,4,0,True,200,100,0,0.9215481281280518,0.7714558839797974
relu,4,1,True,200,100,0,0.8341302871704102,0.8018168807029724
relu,4,2,True,200,100,0,0.8370591998100281,0.7960793972015381
relu,5,0,True,200,100,0,0.9249850511550903,0.7739660739898682
relu,5,1,True,200,100,0,0.8366706371307373,0.7978723645210266
relu,5,2,True,200,100,0,0.8397190570831299,0.7945254445075989
relu,6,0,True,200,100,0,0.9320980310440063,0.7712168097496033
relu,6,1,True,200,100,0,0.8368499875068665,0.7960793972015381
relu,6,2,True,200,100,0,0.8412134051322937,0.7979918718338013
relu,7,0,True,200,100,0,0.9428571462631226,0.7670332193374634
relu,7,1,True,200,100,0,0.8377166986465454,0.7965574860572815
relu,7,2,True,200,100,0,0.8424387574195862,0.794764518737793
tanh,4,0,True,200,100,0,0.9402271509170532,0.7638058662414551
tanh,4,1,True,200,100,0,0.8510161638259888,0.7887879610061646
tanh,4,2,True,200,100,0,0.849521815776825,0.7920153141021729
tanh,5,0,True,200,100,0,0.9414823651313782,0.7630887031555176
tanh,5,1,True,200,100,0,0.8519725203514099,0.7897441983222961
tanh,5,2,True,200,100,0,0.8433951139450073,0.7942863702774048
tanh,6,0,True,200,100,0,0.9272863268852234,0.7672722935676575
tanh,6,1,True,200,100,0,0.8507471680641174,0.7873535752296448
tanh,6,2,True,200,100,0,0.8490137457847595,0.79141765832901
tanh,7,0,True,200,100,0,0.9222952723503113,0.7685871124267578
tanh,7,1,True,200,100,0,0.855379581451416,0.7907004356384277
tanh,7,2,True,200,100,0,0.8407053351402283,0.7923738956451416
